p1 p2 p3
0.536585365853659 0.292682926829268 0.170731707317073
0.394736842105263 0.263157894736842 0.342105263157895
0.333333333333333 0.238095238095238 0.428571428571429
0.387096774193548 0.161290322580645 0.451612903225806
0.36734693877551 0.285714285714286 0.346938775510204
0.333333333333333 0.266666666666667 0.4
0.41025641025641 0.230769230769231 0.358974358974359
0.463414634146341 0.219512195121951 0.317073170731707
0.369565217391304 0.391304347826087 0.239130434782609
0.473684210526316 0.157894736842105 0.368421052631579
0.326086956521739 0.369565217391304 0.304347826086957
0.421052631578947 0.184210526315789 0.394736842105263
0.444444444444444 0.222222222222222 0.333333333333333
0.4375 0.145833333333333 0.416666666666667
0.457142857142857 0.2 0.342857142857143
0.153846153846154 0.346153846153846 0.5
0.470588235294118 0.235294117647059 0.294117647058824
0.461538461538462 0.269230769230769 0.269230769230769
0.421052631578947 0.289473684210526 0.289473684210526
0.432432432432432 0.27027027027027 0.297297297297297
0.48 0.12 0.4
0.536585365853659 0.24390243902439 0.219512195121951
0.35 0.325 0.325
0.486486486486487 0.27027027027027 0.243243243243243
0.418604651162791 0.209302325581395 0.372093023255814
0.409090909090909 0.204545454545455 0.386363636363636
0.307692307692308 0.365384615384615 0.326923076923077
0.454545454545455 0.227272727272727 0.318181818181818
0.411764705882353 0.117647058823529 0.470588235294118
0.377777777777778 0.288888888888889 0.333333333333333
0.21875 0.34375 0.4375
0.416666666666667 0.166666666666667 0.416666666666667
0.292682926829268 0.414634146341463 0.292682926829268
0.25531914893617 0.319148936170213 0.425531914893617
0.395348837209302 0.27906976744186 0.325581395348837
0.294117647058824 0.235294117647059 0.470588235294118
0.264705882352941 0.411764705882353 0.323529411764706
0.243243243243243 0.297297297297297 0.459459459459459
0.447368421052632 0.289473684210526 0.263157894736842
0.354838709677419 0.258064516129032 0.387096774193548
0.433333333333333 0.3 0.266666666666667
0.454545454545455 0.151515151515152 0.393939393939394
0.52 0.22 0.26
0.588235294117647 0.088235294117647 0.323529411764706
0.441860465116279 0.27906976744186 0.27906976744186
0.35 0.375 0.275
0.37037037037037 0.185185185185185 0.444444444444444
0.4 0.2 0.4
0.425 0.25 0.325
0.5 0.195652173913043 0.304347826086957
